curv_inv,LEGAL_SP,DIR_CURV,begmp,endmp,deg_curv,seg_lng
002,55,L,0.16,0.19,43.74,0.03
002,55,R,0.2,0.29,17.739999999999995,0.09
002,55,L,0.32,0.79,0.93,0.4699999999999999
002,55,R,1.8400000000000003,1.92,0.6,0.08
002,55,R,2.3700000000000006,2.72,3.8199999999999994,0.35
002,55,L,2.82,2.85,3.0,0.03
002,60,L,3.33,3.4300000000000006,2.0,0.1
002,60,R,3.87,4.07,0.95,0.2
002,60,L,4.16,4.57,1.47,0.41
002,60,L,4.8,5.009999999999999,2.16,0.21
002,60,R,5.3100000000000005,5.96,0.96,0.65
002,60,R,6.57,7.14,2.25,0.57
002,60,L,8.189999999999998,8.83,2.66,0.64
002,60,R,8.939999999999998,9.1,1.9099999999999997,0.16
002,60,L,9.36,9.4,2.86,0.04
002,60,R,9.58,10.0,1.0,0.42
002,60,R,10.5,10.620000000000003,2.0,0.12
002,55,L,12.47,12.78,1.73,0.31
002,45,L,14.18,14.25,0.29,0.07000000000000002
002,45,L,14.41,14.53,1.08,0.12
002,45,L,14.57,14.65,1.15,0.08
002,55,L,15.51,15.9,1.25,0.39
002,55,R,16.11,16.19,2.0,0.08
002,55,L,18.03,18.19,2.0,0.16
002,55,R,18.32,18.36,4.0,0.04
002,55,R,18.84,18.93,2.0,0.09
002,55,L,20.08,20.22,3.0,0.14
002,55,L,20.56,20.72,1.0,0.16
002,35,R,22.32,22.41,3.0,0.09
002,35,L,22.67,22.81,2.0,0.14
002,35,L,22.96,23.05,1.0,0.09
002,35,R,23.35,23.45,2.0,0.1
002,50,R,24.85,25.11,2.0,0.26
002,50,L,25.48,25.63,2.0,0.15
002,35,R,26.29,26.35,3.0,0.06
002,50,L,26.51,26.57,3.0,0.06
002,50,R,26.88,27.04,3.5,0.16
002,35,L,27.690000000000005,27.95,0.5,0.26
002,35,R,27.95,28.0,0.88,0.05
002,35,R,28.0,28.1,0.88,0.1
002,35,L,28.55,28.59,0.5,0.04
002,35,R,28.59,28.63,0.5,0.04
002,35,L,29.41,29.61,1.0,0.2
002,50,L,30.91,31.23,2.0,0.32
002,60,R,32.13,32.50999999999999,4.0,0.38
002,60,R,32.55,32.71,6.0,0.16
002,60,L,32.79,33.06,5.0,0.27
002,60,L,33.53,33.62,4.5,0.09
002,60,L,33.82999999999999,33.95,2.0,0.12
002,60,R,34.05,34.12,4.0,0.07000000000000002
002,60,L,34.27000000000001,34.43,8.0,0.16
002,60,R,34.5,34.73000000000001,6.0,0.23000000000000004
002,60,L,34.93,35.05000000000001,4.0,0.12
002,50,L,35.2,35.30000000000001,8.0,0.1
002,50,R,35.44,35.59000000000001,4.77,0.15
002,50,R,35.63,35.78,7.16,0.15
002,50,L,35.84000000000001,35.97,7.42,0.13
002,50,R,36.04,36.15,4.0,0.11
002,50,L,36.18,36.28,3.37,0.1
002,60,L,36.42000000000001,36.54,4.0,0.12
002,60,R,36.59000000000001,36.66,6.0,0.07000000000000002
002,60,L,36.69,36.96,4.88,0.27
002,60,R,37.05000000000001,37.22,6.0,0.17
002,60,R,37.31,37.46,4.0,0.15
002,60,R,37.81,37.9,1.0,0.09
002,60,L,38.03,38.23000000000001,6.0,0.2
002,60,R,38.27000000000001,38.34000000000001,6.0,0.07000000000000002
002,60,R,38.43,38.69,6.0,0.26
002,60,L,38.86,38.98000000000001,2.0,0.12
002,60,R,39.2,39.24000000000001,4.0,0.04
002,60,L,39.32,39.39,10.0,0.07000000000000002
002,60,R,39.46,39.50999999999999,0.5,0.05
002,60,L,39.96,40.00999999999999,1.41,0.05
002,60,R,40.14,40.30000000000001,4.0,0.16
002,60,L,40.47,40.61,3.0,0.14
002,60,L,42.94,43.14,3.18,0.2
002,60,R,43.19,43.39,3.18,0.2
002,60,L,43.80000000000001,43.9,6.0,0.1
002,60,R,44.01,44.28,3.0,0.27
002,60,L,44.35,44.45,5.0,0.1
002,60,R,45.09,45.12,1.0,0.03
002,60,L,45.24,45.27,1.0,0.03
002,60,L,45.39,45.47,1.0,0.08
002,60,L,45.71,45.85,3.0,0.14
002,60,R,45.98000000000001,46.16,4.0,0.18
002,60,L,46.2,46.32,4.0,0.12
002,60,R,46.5,46.74,3.0,0.24
002,60,L,47.05000000000001,47.25,3.0,0.2
002,60,R,47.58,47.86,2.0,0.28
002,60,L,47.94,48.19,2.0,0.25
002,60,L,48.33,48.56,4.0,0.23000000000000004
002,50,R,48.83,48.94,4.0,0.11
002,50,L,49.04,49.25,3.0,0.21
002,60,R,49.44,49.64,4.0,0.2
002,60,R,50.91,51.0,2.0,0.09
002,60,L,51.41,51.55,2.0,0.14
002,60,L,52.1,52.37,2.0,0.27
002,60,R,52.59000000000001,52.98000000000001,3.0,0.39
002,60,R,52.98000000000001,53.05,4.41,0.07000000000000002
002,60,L,53.16,53.33,4.0,0.17
002,60,L,53.76,53.8,0.44,0.04
002,60,R,53.89,53.9,0.44,0.01
002,60,R,54.05,54.12,0.44,0.07000000000000002
002,60,L,54.51,54.64,2.79,0.13
002,60,R,54.7,54.85,3.18,0.15
002,60,R,55.05,55.16,1.9099999999999997,0.11
002,60,L,55.26,55.34000000000001,1.9099999999999997,0.08
002,60,R,55.39,55.6,0.31,0.21
002,60,L,55.61,55.66,0.45,0.05
002,60,R,55.84000000000001,55.94,2.76,0.1
002,60,L,56.03,56.15,3.16,0.12
002,60,R,56.21,56.32,3.8199999999999994,0.11
002,60,L,56.48000000000001,56.69,1.98,0.21
002,60,L,56.69,56.71,2.01,0.02
002,60,R,56.71,56.82,0.45,0.11
002,60,L,57.04,57.13000000000001,1.9099999999999997,0.09
002,60,R,57.17,57.31,2.86,0.14
002,60,L,57.45,57.5,0.39,0.05
002,60,R,57.62,57.71,3.58,0.09
002,60,R,58.0,58.04,0.29,0.04
002,60,R,58.38000000000002,58.6,3.37,0.22
002,60,L,59.07,59.14,0.38,0.07000000000000002
002,60,R,59.19,59.26,0.38,0.07000000000000002
002,60,L,59.46,59.62,1.25,0.16
002,60,R,59.84000000000002,59.95,4.77,0.11
002,60,L,60.22,60.41,9.35,0.19
002,60,L,60.41,60.6,9.35,0.19
002,60,R,60.76,60.83,4.09,0.07000000000000002
002,60,L,60.91,60.98000000000002,4.09,0.07000000000000002
002,60,R,61.05,61.2,8.49,0.15
002,60,R,61.22,61.37,3.58,0.15
002,60,R,61.42,61.51,1.9099999999999997,0.09
002,60,R,61.71,61.82,2.86,0.11
002,60,R,61.92,61.99,2.86,0.07000000000000002
002,60,R,62.14,62.24,0.5,0.1
002,60,L,62.32,62.42,1.01,0.1
002,60,L,62.52,62.6,2.94,0.08
002,60,R,62.64,62.83,0.75,0.19
002,60,L,63.01,63.05,0.5,0.04
002,60,R,63.09000000000002,63.15,10.05,0.06
002,60,R,63.2,63.25,5.62,0.05
002,60,R,63.25,63.28,5.97,0.03
002,60,R,63.33,63.41,1.01,0.08
002,60,L,63.42,63.5,0.5,0.08
002,60,L,63.83,63.94000000000002,2.94,0.11
002,60,R,63.96,64.35,2.6,0.39
002,35,L,64.51,64.7,7.25,0.19
002,35,R,64.76999999999998,64.90999999999998,4.04,0.14
002,35,L,64.93000000000002,65.03,4.0,0.1
002,60,L,65.23000000000002,65.39,2.0,0.16
002,60,L,65.59000000000002,65.76999999999998,2.25,0.18
002,60,L,65.86,66.03,3.0,0.17
002,60,R,66.14,66.53,1.0,0.39
002,60,R,66.53,66.72,3.5,0.19
002,60,R,66.72,66.86,0.5,0.15
002,60,R,66.86,67.04000000000002,1.0,0.18
002,60,L,67.05,67.22,0.5,0.17
002,60,L,67.22,67.28,0.75,0.06
002,60,R,67.37,67.57,1.0,0.2
002,60,R,67.57,67.8,1.5,0.23000000000000004
002,60,R,67.96000000000002,68.14,4.0,0.18
002,60,L,68.22,68.38,4.0,0.16
002,60,L,68.56,68.64,4.09,0.08
002,60,R,68.87,69.06,4.09,0.19
002,60,R,69.15,69.42,3.5699999999999994,0.27
002,60,L,69.76999999999998,69.89,4.0,0.12
002,60,L,70.23000000000002,70.40999999999998,4.0,0.18
002,60,R,70.60000000000002,70.78,1.5,0.19
002,60,R,70.78,70.98000000000002,4.0,0.2
002,60,L,71.03,71.17,4.18,0.14
002,60,L,71.18000000000002,71.26999999999998,0.95,0.09
002,60,L,71.54000000000002,71.86,5.009999999999999,0.32
002,60,R,71.93000000000002,72.13,6.03,0.2
002,60,L,72.22,72.44,1.44,0.22
002,60,L,72.44,72.61,1.59,0.17
002,60,R,72.85000000000002,73.01,5.0,0.16
002,60,L,73.05,73.25,4.0,0.2
002,60,R,73.31,73.44,5.0,0.13
002,60,L,73.47,73.78,3.0,0.31
002,60,R,74.14,74.34000000000002,6.0,0.2
002,60,L,74.38,74.55,6.0,0.17
002,60,R,74.63,75.10000000000002,2.75,0.4699999999999999
002,60,L,75.23000000000002,75.44,1.5,0.21
002,60,L,75.57,75.76999999999998,6.0,0.2
002,60,R,75.82,75.9,6.0,0.08
002,60,R,76.08,76.25,3.03,0.17
002,60,L,76.39,76.64,6.37,0.25
002,60,R,76.72,77.0,5.73,0.28
002,60,L,77.15,77.31,6.0,0.16
002,60,R,77.38,77.47,4.0,0.09
002,60,R,77.68000000000002,77.84000000000002,4.02,0.16
002,60,R,78.15,78.38,2.51,0.23000000000000004
002,60,L,78.44,78.63,4.0,0.19
002,60,R,78.71000000000002,78.93000000000002,2.5,0.22
002,60,L,79.59000000000002,79.72,0.5,0.13
002,60,R,80.04000000000002,80.13,1.0,0.09
002,60,L,81.0,81.15,0.5,0.15
002,60,L,82.16,82.42,3.0,0.26
002,60,R,82.75,83.06,2.5,0.31
002,60,L,83.16,83.53,0.5,0.37
002,60,R,84.23,84.4,4.5,0.17
002,60,R,84.88,85.22,1.5,0.34
002,60,R,85.81,85.97,0.5,0.16
002,60,L,86.61,86.71000000000002,3.25,0.11
002,60,L,86.71000000000002,86.85000000000002,3.25,0.14
